Start	Function name
0042CA30	LevelProp_DrawWT
0042CEE0	LevelProp_NewWT
0042D1F0	LevelProp_WTGrow
0042D360	LevelProp_WTFertilize
0042D480	LevelProp_WTUpdateNormal
0042D530	LevelProp_WTUpdateGrow
0042D5C0	LevelProp_WTUpdateTalk
0042D680	LevelProp_UpdateWTEffect
0042D7E0	LevelProp_UpdateFertilize
0042D830	LevelProp_WTChange
0042D8C0	LevelProp_WTNewShop
0042D9A0	LevelProp_WTShove
0042D9E0	LevelProp_If_WTPointed
0042DA90	LevelProp_If_NoPhonograph
0042DAE0	_New_Selectlevelpage
0042E280	Kill_SelectLevelPage
0042E2A0	_Kill_Selectlevelpage
0042E3C0	SelectLevelPage_SetUnlockLevel
0042E440	SelectLevelPage_GetLevelButtonStage
0042E6E0	SelectLevelPage_If_ShowLimboPageButton
0042E710	SelectLevelPage_SetButtonsVisibleInit
0042E8A0	SelectLevelPage_If_LevelUnlock
0042E920	SelectLevelPage_DrawRankBtn
0042F160	SelectLevelPage_Draw
0042F510	SelectLevelPage_Update
0042F640	SelectLevelPage_AddedToManager
0042F6B0	SelectLevelPage_RemovedFromManager
0042F720	SelectLevelPage_ButtonPress
0042F740	SelectLevelPage_ButtonDepress
0042F7E0	SelectLevelPage_UpdateButtons
0042FB50	nullsub_10
0042FB60	String_Substring
0042FB90	ColorVwctor_GetRankPtr
0042FBC0	Return_True
0042FBD0	SelectLevelPage_EnterAdventureLevel
0042FF60	Item_Init
00430970	Item_If_IsMoney
00430990	Item_If_IsSun
004309B0	Item_If_LevelUnlockPresent
004309D0	Item_Collected
00430AC0	Item_NotCollectedUpdate
00430E40	Item_CollectedUpdate
00431500	Item_Update
004316F0	Item_GetSetColor
004317D0	Item_GetLevelUseableCardCount
00431810	Item_Draw
00431F30	Item_NewContainedItems
00432000	Item_AsCollected
00432060	Item_Collect
004329A0	Item_GetSunValue
004329D0	GetCoinValue_Type
00432A00	Item_DropSound
00432A90	Item_GoldcoinFallgroundSound
00432B00	Item_PlayCollectSound
00432C00	Item_HandCollect
00432DD0	Item_Kill
00432E20	Item_If_Pointed
00432F80	Item_IfCanStay
00432FE0	Item_If_Holy
00433050	Item_GetInitExistTime
004330D0	_New_Continuelevelwnd
004333D0	Kill_ContinueLevelWnd
004333F0	_Kill_Continuelevelwnd
00433470	ContinueLevelWnd_GetPreferredHeight
00433480	ContinueLevelWnd_Resize
00433520	ContinueLevelWnd_AddedToManager
00433590	ContinueLevelWnd_RemovedFromManager
004335D0	do_load_level_bgm
004336C0	do_show_ensure_restartlevel_window
00433A70	_New_MV
00433E20	Kill_MV
00433E40	_Kill_MV
00433EE0	MV_AddedToManager
00433F30	MV_RemovedFromManager
00433F80	Load_New_MemoryReanim_C
00434C70	sub_434C70
00434D60	sub_434D60
00434F20	sub_434F20
004351E0	sub_4351E0
004354E0	MV_DrawOverlay
00435550	sub_435550
00435A90	sub_435A90
00435B60	MV_Draw
00436940	sub_436940
00436A30	MV_Update
00436BE0	sub_436BE0
00437F20	sub_437F20
00437FC0	sub_437FC0
00438010	sub_438010
00438430	sub_438430
00438530	MV_KeyDown
